VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
TKTtu4c4ihY,143162,2254,190,29,1,0
zS5RrgPOpg4,408,16,0,0,1,0
ACKYhlBi98Q,2210261,66199,3789,1307,5,1
33xgszZJn_c,1650350,38845,2107,728,6,1
2dLE4Nn6-ug,3765057,211551,12685,11647,3,1
n4_FpaYgFqQ,2394276,89433,3019,1354,9,0
qSFunT5rDHI,1006710,77585,3500,936,1,1
RjbNMogQw8s,6652207,914031,272638,9379,0,1
lSk2NjUiBpI,934,24,7,2,1,0
nNQAf6NMtc0,176666,1004,110,148,1053,0
bmrGJ_-wgM8,641026,32851,25085,867,0,1
N3zWsDmfGQ4,4547,51,2,4,0,0
71nK8p-WtUc,184060,12473,1505,1868,1,1
uQ6xbsl6kSo,2516152,115914,5803,973,2,1
X_C26M6MJiY,1507505,86909,5536,3633,0,1
QPWdF3rRtb0,513522,5202,1403,280,176,0
zRVvXNhm8s4,3020456,156429,4885,2897,1,0
vsfOfCMAl40,1684,31,9,1,3,0
e-anfI0eCR8,550328,1513,125,208,560,0
d5RQUsWq5ZU,52904,184,9,15,76,0
urJ8YNU10SU,3991842,157045,6292,3538,9,1
LtwtnsvkuuU,3460,21,4,0,3,0
dvndP8di-Uw,1260990,208046,11741,1264,0,1
AV3P55Xu_Ow,8844818,464330,26805,6606,6,1
MraxZ8Pgiag,86840,1625,101,38,170,0
yVq9CpmGqqs,78392,1068,5,102,103,0
jh5PvepELG4,2570,179,3,4,1,0
AURmKPCd7qs,2209749,73454,5615,908,9,0
21bXuNkxEYo,1874245,233222,3343,908,2,1
RUQl6YcMalg,25712309,2631775,199555,57255,2,1
PIVvnI34afQ,1339018,79535,7094,2046,6,1
mxPc8Avl_hs,7226,248,29,0,179,0
Ygv9b2exV5c,98009,463,90,70,5,1
TUHZ2Tgys7A,30302,753,49,12,439,0
VvcCLP2OhgU,434,12,2,0,3,0
uKhy1Y69BT4,3546228,245584,13309,2962,5,1
ch3DlPofPUk,959,260,6,6,3,0
8NxeXgNa2OY,458351,4131,106,108,154,0
DZqzEZRHIuI,211636,957,117,114,309,0
paa7oHuEsus,806304,52693,5207,435,4,1
f2VmOqjV_7Q,1300180,79957,8635,887,4,1
7WlZtcdKN5A,295504,7351,2832,970,0,0
fc6p4N-chbA,816517,40683,9888,383,3,1
Dv3lU0HlXK8,97575,890,3,102,436,0
ncAyvy4Q81M,1244191,11186,1773,730,3,1
LsNg-KrFxCA,2108740,107339,5724,1122,0,1
qSFunT5rDHI,1280801,88953,3862,1072,4,1
0bs8XYlnfpE,1990,55,12,4,3,0
