VideoId,Views,Likes,Comments,Dislikes,DifferenceBetweenPublishAndActualDate,IsTrending
rUyjyZIb2cQ,214103,78,0,49,61,0
c8Bgux59dU8,333,3,0,0,1601,0
rQAX-2EShcI,595242,1,0,0,264,0
_guTinF7fSk,65507,2537,361,87,917,0
JoSgz9HdMmA,68138,2929,898,305,1068,0
hZFLLjLsy_4,145172,448,71,111,653,0
f5p9iGWNSE0,218875,869,169,195,660,0
tk6EFLgOHMw,98417,404,52,80,1586,0
9eDZOpPK-RU,127006,6,3,0,989,0
Kv-NZyvE_AI,127304,4,0,0,1160,0
4MtfyAcCdMk,92325,577,415,489,793,0
8SzFOYJGQO8,103516,826,0,263,673,0
s8QjG4kWVOI,687946,20,1,1,1510,0
7DQ62b39vrQ,104136,1115,1,146,429,0
qetbisNc5Yk,909641,9243,1129,1608,451,0
N3zWsDmfGQ4,4547,51,2,4,0,0
CqjQEorrob0,476322,13,0,9,215,0
iXneCR7LiPg,1493,56,5,1,0,0
UOTEqg6scVI,1402,69,49,1,1,0
FCnt3JH7Ryc,1462,57,2,3,0,0
yUEa68d9NTs,265761,1906,0,282,318,0
gSLz4OGoGmQ,4400,127,1,0,0,0
7hmsyEf5lp4,4670,130,1,8,0,0
0q4KI58DQEA,1232,38,0,3,1,0
eskwrmQHNuE,180968,885,142,95,1600,0
g5bmYeDHFUg,4472,91,7,5,0,0
k_ElEe6mgHs,3926,86,9,2,0,0
Hhli-_JCHhc,486,51,1,0,0,0
hh-a3379RFc,84812,5,1,0,446,0
7-dloj6jUEA,96256,189,5,4,2248,0
t0vtohHcGrQ,179626,350,0,72,463,0
0rguRBmkXao,1819,39,4,1,0,0
HGxcYXImRYM,883,23,4,1,0,0
9WcBVzbjfO0,1641,42,3,2,0,0
5x-967VF7IY,56663,432,70,39,877,0
hySrozO85No,6308,0,21,0,1,0
UDFcUv0upiU,842,51,1,0,0,0
YWWOhIoRRmM,1412,20,6,1,0,0
Q3S1RgJ7ejk,2811,86,7,6,0,0
u_MDjcina4Q,203,20,0,0,0,0
v9uknhz4sM8,993,23,0,0,0,0
0dEcKdPu32I,321630,141,1,44,100,0
pSiB2_jnk2I,1476,7,8,0,0,0
rVe6t1o-8a8,1552,9,1,1,0,0
6raH_t2CFqo,1202,11,0,1,0,0
LR5029o0YzA,163624,1159,0,271,1158,0
J926rsrDY8g,2812,42,4,2,0,0
xc44l5fvkwA,72710,27,12,14,1623,0
XRMYDqS8uds,66369,732,0,148,464,0
esYGzmpHryg,594,10,0,0,0,0
ggohZybwIj8,3398,0,13,0,0,0
Ihfes_n0aB0,71346,347,0,48,1096,0
QgHd865CQ2A,77046,288,1,41,347,0
69U3i15jcuM,12510,324,11,49,0,0
4DDi_4VUdeo,67517,0,142,0,272,0
AUHqHNKnrRU,6344,144,27,9,0,0
7XzWR1a9UUA,223770,1039,256,190,536,0
EvUWUWSUSPE,1366,31,0,1,0,0
XczJZbMN_s0,69304,760,57,95,739,0
a3WETSGYLNE,1065,86,2,0,0,0
oXm_x3sb9lE,883,48,2,0,0,0
BszXd-0laAY,937,50,1,0,0,0
2_AHrDYC8Ds,5130,308,0,4,1,0
Ah6dtZBT8dc,1246,18,1,0,0,0
nNSKiaeb6uw,2475,49,1,4,0,0
9nJz2NqUX2o,1513,30,1,1,0,0
jy9wJjCgBDg,1929,12,0,0,0,0
3-obeXP5cWQ,876,19,0,1,0,0
ep2A_b2b3_w,1624,32,2,1,0,0
A5FNu4ZzDJU,114032,4,0,0,53,0
XoSRoRroV_U,1079,22,6,2,0,0
nM4WUpnvNKA,79132,813,0,188,451,0
xxQGC7Y3x6E,1059,19,1,0,0,0
8Y62RSqkP3A,583,17,0,0,0,0
BI0_ZISID5c,923255,6,0,1,128,0
su5Q4m1d_Sc,56488,717,487,25,777,0
CF7ZsrCSbg0,287486,3646,0,227,417,0
tN61FZVpOBA,64645,202,4,81,1009,0
saVB2RdLCBA,182578,13,0,6,54,0
WN8FRc49lvE,98187,785,0,60,438,0
nu3CedICcpE,66601,999,7,94,400,0
mqg5WyC27bY,121992,634,0,128,346,0
ARRnyc0U6Js,379804,3,0,2,194,0
-3LrnHlbyhg,296363,3,0,1,102,0
NSAX_b6PwcI,112108,980,0,382,560,0
g92y0aFkz_4,190477,1,0,0,544,0
APsUsJyz4gs,71074,254,7,260,635,0
K8v7Vsogm9w,80575,964,55,340,226,0
k4gto5S__oE,52457,6,1,3,183,0
lECLBUaKteM,61464,266,6,0,1872,0
a4HLSmUPvlQ,102486,1350,309,73,568,0
8I-I-LUqj8I,58097,120,0,8,1870,0
Dl_ahCKuuus,255173,1787,0,290,526,0
ntcbEk1pdos,237427,4617,0,714,445,0
Cp9mWLr80PY,104224,0,0,0,265,0
8HiykaDZEDE,120923,307,0,33,920,0
auYjoYD16Tw,47861,81,37,4,1228,0
HR7uVBitNG4,263852,35,0,0,1077,0
AIYWK3sQxH0,175706,5143,611,207,102,0
4fyJAgXqL6c,276092,1246,43,143,1843,0
zeQCSZR5KnQ,94660,2348,253,121,825,0
Rw2Uv_3VWGg,52666,131,5,1,4744,0
1k8Wj7jJ3iY,76241,629,31,18,168,0
iGEH1XXT_PE,189601,0,109,0,228,0
bPZiV1m4f28,216274,1532,63,149,107,0
yVFc1WaNsPg,96246,1861,0,186,457,0
ODxdrnc6mGo,73005,1279,0,93,453,0
FZNl0CS87MA,76718,228,3,31,540,0
Jr5u1sA_uO8,31042,156,18,12,1440,0
DdyrzD2bvFc,132913,811,0,103,1034,0
DrR_U6NlrNk,73684,691,0,53,726,0
Wp1lqBGLGdY,69554,2200,0,175,647,0
FBfJDtaKpKY,84321,640,0,45,892,0
cz28372kn8Q,86317,862,0,130,1117,0
b9QKpj5IbMY,214017,1518,177,100,1837,0
zttXVzEthQk,65742,3185,417,107,954,0
UxjNihNBrlM,199110,1653,350,304,615,0
3K7sy0v-jlQ,447738,2441,874,785,639,0
777bTOPZ-ww,65098,0,125,0,205,0
ndA-0XdLjhE,79191,1066,350,49,116,0
D-qzdk1izNU,35393,153,7,2,3944,0
CqymnaAJyd4,209560,1704,646,1524,737,0
3vffIVH-Y6g,617333,6,2,0,506,0
coSrR7yeANY,96353,802,254,260,776,0
wEBYm5Al4rQ,554994,73,4,4,892,0
mFt5qz44ljw,206485,10,0,3,590,0
wg92_aMykUk,85376,0,71,0,1013,0
ctZw_oeIOyg,1091,30,0,1,0,0
2FpQrAuFphA,239,4,0,0,0,0
pBvg9iu83rE,208697,523,0,796,656,0
evfWrTkzh1k,75074,321,0,34,1160,0
XFjFjY0r3vE,810,0,0,0,0,0
t1JWiHzxeVs,67268,314,2,84,323,0
kTK4GbFXAO8,2620,2,1,1,1837,0
IS-qW2arYqw,583,0,0,0,0,0
adLGHcj_fmA,40050255,1572945,82647,14184,8,0
N092CfrrHKs,4086174,70923,5473,2141,7,0
uqnxt9vGAmE,300180,288,50,7,4185,0
ejYu5qZ67-s,211372,2764,321,240,825,0
mfYexATvvqc,10062,161,8,15,2,0
JqsUs8DDQJw,69764,1021,37,28,1071,0
oikoxRWxbMM,1803297,10637,507,2034,7,0
hovGi6c0S7M,65043,564,165,78,703,0
65JgmmMkttY,260768,6468,280,166,1071,0
FzTXMZIBomU,85675,411,0,40,453,0
k94gpDKJ_Lo,80652,756,0,87,625,0
4PLHtAK0kM8,138696,2734,345,276,842,0
QFPyoXBoPeg,69877,528,100,82,799,0
NYMGnzF2Wlo,264727,1726,0,454,514,0
tHdYGVz1AIA,2050,19,2,1,0,0
LgMR4JM0lE0,2731,11,3,1,0,0
mcrQq0Ekizw,3757,17,5,2,1,0
eBaj2i2e9BA,104157,411,183,194,1757,0
--aEwex63j4,161205,709,121,121,1229,0
